epoch,train_loss,val_loss,val_accuracy
1,0.0652961426625265,0.03911170375681643,0.9892712159288614
2,0.03436746931897095,0.022598688429801384,0.9934274115600232
3,0.026615552778088997,0.0295880582001874,0.9915909530253239
4,0.020760575294636388,0.007763429964732147,0.9974869514788324
5,0.023254361808413244,0.010137090077942251,0.9973902957664798
6,0.020171439313499438,0.007127873851544337,0.9982601971776532
7,0.019723620484653374,0.03400622623754175,0.983568528900058
8,0.015852050145928265,0.019916430882944026,0.9936207229847284
9,0.016973597312581277,0.009498608730719837,0.9973902957664798
10,0.01844875911678845,0.011573583594754744,0.9967137057800116
